lap_number,lap_time_s,lap_time_raw,s1_s,s2_s,s3_s,s1_raw,s2_raw,s3_raw,stint,compound,tyre_life,position,prev_position,overtakes,gap_to_leader_s,session_time_raw,pit_in,pit_out,pit_duration_s,pit_stop_dur_s,avg_speed,max_speed,std_speed,avg_throttle,avg_brake,avg_tyre_temp
1,98.271,0 days 00:01:38.271000,,41.549,23.635,NaT,0 days 00:00:41.549000,0 days 00:00:23.635000,1.0,SOFT,4.0,2,,0,,0 days 01:01:38.476000,False,False,,,188.37008450453698,292.0,67.69670887015373,66.10971208656147,0.21646746347941567,
2,96.862,0 days 00:01:36.862000,31.166,41.864,23.832,0 days 00:00:31.166000,0 days 00:00:41.864000,0 days 00:00:23.832000,1.0,SOFT,5.0,2,2.0,0,,0 days 01:03:15.338000,False,False,,,198.0048913281134,300.0,66.87463789203957,67.51281398042111,0.21212121212121213,
3,98.062,0 days 00:01:38.062000,31.223,42.856,23.983,0 days 00:00:31.223000,0 days 00:00:42.856000,0 days 00:00:23.983000,1.0,SOFT,6.0,3,2.0,0,,0 days 01:04:53.400000,False,False,,,197.76207261164478,300.0,67.60703924728126,66.77910880045386,0.22684563758389262,
4,97.752,0 days 00:01:37.752000,30.958,42.784,24.01,0 days 00:00:30.958000,0 days 00:00:42.784000,0 days 00:00:24.010000,1.0,SOFT,7.0,3,3.0,0,,0 days 01:06:31.152000,False,False,,,197.2893032729067,320.0,69.92754879592192,66.29740973242147,0.225130890052356,
5,98.131,0 days 00:01:38.131000,31.192,42.872,24.067,0 days 00:00:31.192000,0 days 00:00:42.872000,0 days 00:00:24.067000,1.0,SOFT,8.0,3,3.0,0,,0 days 01:08:09.283000,False,False,,,197.47121377175654,303.0,68.54335242085058,65.8986735813038,0.2222222222222222,
6,97.782,0 days 00:01:37.782000,30.936,42.751,24.095,0 days 00:00:30.936000,0 days 00:00:42.751000,0 days 00:00:24.095000,1.0,SOFT,9.0,3,3.0,0,,0 days 01:09:47.065000,False,False,,,198.31282485106354,317.0,70.900067728469,66.73713941215368,0.22145804676753783,
7,98.957,0 days 00:01:38.957000,31.008,43.761,24.188,0 days 00:00:31.008000,0 days 00:00:43.761000,0 days 00:00:24.188000,1.0,SOFT,10.0,4,3.0,0,,0 days 01:11:26.022000,False,False,,,195.7603110386907,318.0,70.90674728752643,64.72962385104321,0.21830065359477124,
8,98.136,0 days 00:01:38.136000,31.2,42.753,24.183,0 days 00:00:31.200000,0 days 00:00:42.753000,0 days 00:00:24.183000,1.0,SOFT,11.0,4,4.0,0,,0 days 01:13:04.158000,False,False,,,195.7803107089039,320.0,71.45320666706128,66.478289325462,0.21862348178137653,
9,97.844,0 days 00:01:37.844000,31.147,42.533,24.164,0 days 00:00:31.147000,0 days 00:00:42.533000,0 days 00:00:24.164000,1.0,SOFT,12.0,4,4.0,0,,0 days 01:14:42.002000,False,False,,,199.62544633650472,318.0,70.68063697770917,66.44704377806451,0.2327469553450609,
10,97.884,0 days 00:01:37.884000,30.988,42.534,24.362,0 days 00:00:30.988000,0 days 00:00:42.534000,0 days 00:00:24.362000,1.0,SOFT,13.0,4,4.0,0,,0 days 01:16:19.886000,False,False,,,198.71043494060888,319.0,70.79794876071685,66.55086028812853,0.2103861517976032,
11,101.737,0 days 00:01:41.737000,32.241,42.647,26.849,0 days 00:00:32.241000,0 days 00:00:42.647000,0 days 00:00:26.849000,1.0,SOFT,14.0,6,4.0,0,,0 days 01:18:01.623000,True,False,,,190.71499503598417,304.0,70.67773105131026,64.29302605579795,0.23821989528795812,
12,117.471,0 days 00:01:57.471000,51.178,42.371,23.922,0 days 00:00:51.178000,0 days 00:00:42.371000,0 days 00:00:23.922000,2.0,HARD,1.0,13,6.0,0,,0 days 01:19:59.094000,False,True,,,166.02677994365686,294.0,77.67945542366773,64.03015933109906,0.22247191011235956,
13,96.432,0 days 00:01:36.432000,30.58,42.173,23.679,0 days 00:00:30.580000,0 days 00:00:42.173000,0 days 00:00:23.679000,2.0,HARD,2.0,9,13.0,4,,0 days 01:21:35.526000,False,False,,,199.6642338013252,319.0,69.82066023931141,65.68875560288195,0.2244355909694555,
14,96.756,0 days 00:01:36.756000,30.787,42.232,23.737,0 days 00:00:30.787000,0 days 00:00:42.232000,0 days 00:00:23.737000,2.0,HARD,3.0,8,9.0,1,,0 days 01:23:12.282000,False,False,,,199.34823519214268,310.0,68.62172023679166,66.75034663439162,0.215633423180593,
15,96.813,0 days 00:01:36.813000,30.831,42.256,23.726,0 days 00:00:30.831000,0 days 00:00:42.256000,0 days 00:00:23.726000,2.0,HARD,4.0,6,8.0,2,,0 days 01:24:49.095000,False,False,,,200.35998847484814,307.0,68.97545966033637,66.87972449894453,0.22056833558863329,
16,96.673,0 days 00:01:36.673000,30.606,42.32,23.747,0 days 00:00:30.606000,0 days 00:00:42.320000,0 days 00:00:23.747000,2.0,HARD,5.0,4,6.0,2,,0 days 01:26:25.768000,False,False,,,200.91757861423787,324.0,71.0159017004502,65.6665005871112,0.2446236559139785,
17,97.302,0 days 00:01:37.302000,31.109,42.332,23.861,0 days 00:00:31.109000,0 days 00:00:42.332000,0 days 00:00:23.861000,2.0,HARD,6.0,5,4.0,0,,0 days 01:28:03.070000,False,False,,,201.80117589474744,322.0,70.79238023832178,66.8290380155046,0.22845417236662108,
18,97.438,0 days 00:01:37.438000,31.18,42.467,23.791,0 days 00:00:31.180000,0 days 00:00:42.467000,0 days 00:00:23.791000,2.0,HARD,7.0,5,5.0,0,,0 days 01:29:40.508000,False,False,,,198.90889531115843,305.0,66.4800459564955,66.08024877525159,0.22549019607843138,
19,96.821,0 days 00:01:36.821000,30.986,42.03,23.805,0 days 00:00:30.986000,0 days 00:00:42.030000,0 days 00:00:23.805000,2.0,HARD,8.0,5,5.0,0,,0 days 01:31:17.329000,False,False,,,199.39773729459054,303.0,67.77219064295527,66.92504347949848,0.21983914209115282,
20,96.794,0 days 00:01:36.794000,30.839,42.103,23.852,0 days 00:00:30.839000,0 days 00:00:42.103000,0 days 00:00:23.852000,2.0,HARD,9.0,5,5.0,0,,0 days 01:32:54.123000,False,False,,,198.78198064979097,304.0,68.05888206133251,67.71367936150602,0.2078804347826087,
21,96.977,0 days 00:01:36.977000,31.089,42.091,23.797,0 days 00:00:31.089000,0 days 00:00:42.091000,0 days 00:00:23.797000,2.0,HARD,10.0,5,5.0,0,,0 days 01:34:31.100000,False,False,,,199.5208372485825,305.0,68.59003495858701,67.33594670714899,0.216,
22,96.796,0 days 00:01:36.796000,30.994,41.976,23.826,0 days 00:00:30.994000,0 days 00:00:41.976000,0 days 00:00:23.826000,2.0,HARD,11.0,5,5.0,0,,0 days 01:36:07.896000,False,False,,,199.76506200416495,305.0,69.02405872723897,67.76716659270414,0.21179624664879357,
23,96.987,0 days 00:01:36.987000,31.131,41.941,23.915,0 days 00:00:31.131000,0 days 00:00:41.941000,0 days 00:00:23.915000,2.0,HARD,12.0,5,5.0,0,,0 days 01:37:44.883000,False,False,,,197.96762703834779,305.0,69.08537427794886,67.1487890570096,0.2185792349726776,
24,96.924,0 days 00:01:36.924000,31.083,41.904,23.937,0 days 00:00:31.083000,0 days 00:00:41.904000,0 days 00:00:23.937000,2.0,HARD,13.0,5,5.0,0,,0 days 01:39:21.807000,False,False,,,198.4704266655064,304.0,69.20004529598475,67.96867273716369,0.2054421768707483,
25,96.76,0 days 00:01:36.760000,31.059,41.828,23.873,0 days 00:00:31.059000,0 days 00:00:41.828000,0 days 00:00:23.873000,2.0,HARD,14.0,5,5.0,0,,0 days 01:40:58.567000,False,False,,,199.90285710981811,304.0,68.66636246153625,67.81286696458697,0.21610738255033557,
26,96.81,0 days 00:01:36.810000,30.991,41.901,23.918,0 days 00:00:30.991000,0 days 00:00:41.901000,0 days 00:00:23.918000,2.0,HARD,15.0,5,5.0,0,,0 days 01:42:35.377000,False,False,,,199.5271469694775,305.0,68.99398215332609,67.84929142454521,0.21351351351351353,
27,96.831,0 days 00:01:36.831000,31.081,41.881,23.869,0 days 00:00:31.081000,0 days 00:00:41.881000,0 days 00:00:23.869000,2.0,HARD,16.0,5,5.0,0,,0 days 01:44:12.208000,False,False,,,200.38738069991138,305.0,69.5940621888133,68.10500707162815,0.205607476635514,
28,96.907,0 days 00:01:36.907000,31.019,41.971,23.917,0 days 00:00:31.019000,0 days 00:00:41.971000,0 days 00:00:23.917000,2.0,HARD,17.0,5,5.0,0,,0 days 01:45:49.115000,False,False,,,197.856432895085,304.0,69.71252889615481,67.89445237328668,0.200836820083682,
29,96.963,0 days 00:01:36.963000,30.974,42.065,23.924,0 days 00:00:30.974000,0 days 00:00:42.065000,0 days 00:00:23.924000,2.0,HARD,18.0,5,5.0,0,,0 days 01:47:26.078000,False,False,,,199.1356585198924,305.0,70.13482792121034,68.25704122931427,0.2231404958677686,
30,97.158,0 days 00:01:37.158000,31.134,42.03,23.994,0 days 00:00:31.134000,0 days 00:00:42.030000,0 days 00:00:23.994000,2.0,HARD,19.0,5,5.0,0,,0 days 01:49:03.236000,False,False,,,198.26083854269183,306.0,69.96426684188117,67.401943215985,0.196,
31,97.031,0 days 00:01:37.031000,30.999,42.079,23.953,0 days 00:00:30.999000,0 days 00:00:42.079000,0 days 00:00:23.953000,2.0,HARD,20.0,4,5.0,1,,0 days 01:50:40.267000,False,False,,,198.5807653051164,305.0,69.98515620931072,66.69092247099387,0.2154696132596685,
32,96.941,0 days 00:01:36.941000,31.153,41.922,23.866,0 days 00:00:31.153000,0 days 00:00:41.922000,0 days 00:00:23.866000,2.0,HARD,21.0,4,4.0,0,,0 days 01:52:17.208000,False,False,,,200.40007930729718,302.0,67.89009445519292,68.91551846651367,0.20253164556962025,
33,96.741,0 days 00:01:36.741000,30.99,41.868,23.883,0 days 00:00:30.990000,0 days 00:00:41.868000,0 days 00:00:23.883000,2.0,HARD,22.0,4,4.0,0,,0 days 01:53:53.949000,False,False,,,199.88764809575906,302.0,68.82820320392142,68.27833769246321,0.19859154929577466,
34,99.614,0 days 00:01:39.614000,31.219,41.932,26.463,0 days 00:00:31.219000,0 days 00:00:41.932000,0 days 00:00:26.463000,2.0,HARD,23.0,4,4.0,0,,0 days 01:55:33.563000,True,False,,,194.99331361455387,301.0,70.2133485923661,66.36338729361908,0.22237380627557982,
35,116.166,0 days 00:01:56.166000,51.681,41.26,23.225,0 days 00:00:51.681000,0 days 00:00:41.260000,0 days 00:00:23.225000,3.0,HARD,1.0,6,4.0,0,,0 days 01:57:29.729000,False,True,,,167.5726083791441,296.0,78.95833534881069,65.17707553216309,0.21979286536248563,
36,94.09,0 days 00:01:34.090000,30.063,40.65,23.377,0 days 00:00:30.063000,0 days 00:00:40.650000,0 days 00:00:23.377000,3.0,HARD,2.0,5,6.0,1,,0 days 01:59:03.819000,False,False,,,203.71193491643473,324.0,69.12357370684134,67.11137946376803,0.21652421652421652,
37,94.897,0 days 00:01:34.897000,30.611,40.962,23.324,0 days 00:00:30.611000,0 days 00:00:40.962000,0 days 00:00:23.324000,3.0,HARD,3.0,5,5.0,0,,0 days 02:00:38.716000,False,False,,,202.0024379439687,302.0,68.32421174807371,69.30048668647318,0.20689655172413793,
38,94.783,0 days 00:01:34.783000,30.55,40.953,23.28,0 days 00:00:30.550000,0 days 00:00:40.953000,0 days 00:00:23.280000,3.0,HARD,4.0,5,5.0,0,,0 days 02:02:13.499000,False,False,,,204.98590021596496,304.0,68.28289785028782,69.14465849117417,0.20723226703755215,
39,95.087,0 days 00:01:35.087000,30.604,41.077,23.406,0 days 00:00:30.604000,0 days 00:00:41.077000,0 days 00:00:23.406000,3.0,HARD,5.0,5,5.0,0,,0 days 02:03:48.586000,False,False,,,201.8072617212056,305.0,68.91968427912661,68.63665501764909,0.2059238363892807,
40,94.859,0 days 00:01:34.859000,30.507,40.836,23.516,0 days 00:00:30.507000,0 days 00:00:40.836000,0 days 00:00:23.516000,3.0,HARD,6.0,5,5.0,0,,0 days 02:05:23.445000,False,False,,,202.76632956927767,306.0,68.75751226558991,68.88317889617261,0.21379310344827587,
41,95.028,0 days 00:01:35.028000,30.539,41.033,23.456,0 days 00:00:30.539000,0 days 00:00:41.033000,0 days 00:00:23.456000,3.0,HARD,7.0,5,5.0,0,,0 days 02:06:58.473000,False,False,,,203.58464114045861,306.0,68.67418191529178,69.0970580462072,0.19972067039106145,
42,94.982,0 days 00:01:34.982000,30.413,41.067,23.502,0 days 00:00:30.413000,0 days 00:00:41.067000,0 days 00:00:23.502000,3.0,HARD,8.0,5,5.0,0,,0 days 02:08:33.455000,False,False,,,203.10493518973567,308.0,70.7773863423755,68.92784293185318,0.20083102493074792,
43,95.192,0 days 00:01:35.192000,30.286,41.367,23.539,0 days 00:00:30.286000,0 days 00:00:41.367000,0 days 00:00:23.539000,3.0,HARD,9.0,5,5.0,0,,0 days 02:10:08.647000,False,False,,,202.54065658821852,321.0,71.80398428534399,66.92638788024462,0.22298221614227087,
44,95.051,0 days 00:01:35.051000,30.468,41.124,23.459,0 days 00:00:30.468000,0 days 00:00:41.124000,0 days 00:00:23.459000,3.0,HARD,10.0,5,5.0,0,,0 days 02:11:43.698000,False,False,,,204.0980479236318,320.0,71.06382804536007,67.7776084211776,0.21282401091405184,
45,95.22,0 days 00:01:35.220000,30.355,41.281,23.584,0 days 00:00:30.355000,0 days 00:00:41.281000,0 days 00:00:23.584000,3.0,HARD,11.0,5,5.0,0,,0 days 02:13:18.918000,False,False,,,201.77875813887115,323.0,72.88970574811056,67.36439544165623,0.22527472527472528,
46,95.058,0 days 00:01:35.058000,30.238,41.4,23.42,0 days 00:00:30.238000,0 days 00:00:41.400000,0 days 00:00:23.420000,3.0,HARD,12.0,4,5.0,1,,0 days 02:14:53.976000,False,False,,,205.08102587092915,325.0,71.45295726951812,68.02101739700196,0.21349862258953167,
47,95.057,0 days 00:01:35.057000,30.576999999999998,41.115,23.365,0 days 00:00:30.577000,0 days 00:00:41.115000,0 days 00:00:23.365000,3.0,HARD,13.0,4,4.0,0,,0 days 02:16:29.033000,False,False,,,202.87744305641067,303.0,68.12558529832337,68.20304675744505,0.2125340599455041,
48,95.308,0 days 00:01:35.308000,30.64,41.183,23.485,0 days 00:00:30.640000,0 days 00:00:41.183000,0 days 00:00:23.485000,3.0,HARD,14.0,4,4.0,0,,0 days 02:18:04.341000,False,False,,,205.34280634643076,302.0,68.82211709420136,70.45284508729817,0.19074333800841514,
49,95.302,0 days 00:01:35.302000,30.689,41.12,23.493,0 days 00:00:30.689000,0 days 00:00:41.120000,0 days 00:00:23.493000,3.0,HARD,15.0,4,4.0,0,,0 days 02:19:39.643000,False,False,,,203.73777196530654,304.0,67.77040499945504,69.75327439993154,0.20170454545454544,
50,95.383,0 days 00:01:35.383000,30.639,41.285,23.459,0 days 00:00:30.639000,0 days 00:00:41.285000,0 days 00:00:23.459000,3.0,HARD,16.0,4,4.0,0,,0 days 02:21:15.026000,False,False,,,202.60116732274594,304.0,69.5647749846196,68.94980580536797,0.1994535519125683,
51,95.418,0 days 00:01:35.418000,30.721,41.116,23.581,0 days 00:00:30.721000,0 days 00:00:41.116000,0 days 00:00:23.581000,3.0,HARD,17.0,4,4.0,0,,0 days 02:22:50.444000,False,False,,,202.7564983592026,304.0,69.90911327224083,69.24299334950565,0.19696969696969696,
52,95.394,0 days 00:01:35.394000,30.693,41.156,23.545,0 days 00:00:30.693000,0 days 00:00:41.156000,0 days 00:00:23.545000,3.0,HARD,18.0,4,4.0,0,,0 days 02:24:25.838000,False,False,,,202.47326190473487,304.0,69.26396739357287,69.76682178256173,0.18662952646239556,
53,95.48,0 days 00:01:35.480000,30.777,41.227,23.476,0 days 00:00:30.777000,0 days 00:00:41.227000,0 days 00:00:23.476000,3.0,HARD,19.0,4,4.0,0,,0 days 02:26:01.318000,False,False,,,202.41566153285817,305.0,69.29833856799581,68.10203672427404,0.20584144645340752,
54,95.265,0 days 00:01:35.265000,30.7,41.077,23.488,0 days 00:00:30.700000,0 days 00:00:41.077000,0 days 00:00:23.488000,3.0,HARD,20.0,4,4.0,0,,0 days 02:27:36.583000,False,False,,,202.75644115325616,306.0,69.56233063029275,68.94650022790252,0.2032967032967033,
55,95.785,0 days 00:01:35.785000,30.857,41.308,23.62,0 days 00:00:30.857000,0 days 00:00:41.308000,0 days 00:00:23.620000,3.0,HARD,21.0,4,4.0,0,,0 days 02:29:12.368000,False,False,,,202.6931406987376,305.0,69.41333665992121,69.04407635471954,0.19337016574585636,
56,95.924,0 days 00:01:35.924000,30.744,41.565,23.615,0 days 00:00:30.744000,0 days 00:00:41.565000,0 days 00:00:23.615000,3.0,HARD,22.0,4,4.0,0,,0 days 02:30:48.292000,False,False,,,202.28549596910403,305.0,69.6712497642064,68.85770446238855,0.19538670284938942,
57,96.324,0 days 00:01:36.324000,30.856,41.655,23.813,0 days 00:00:30.856000,0 days 00:00:41.655000,0 days 00:00:23.813000,3.0,HARD,23.0,4,4.0,0,,0 days 02:32:24.616000,False,False,,,199.96679992736918,304.0,68.99914663858388,66.07645741725929,0.20082530949105915,
